# datasetName, datasetSize, codeMethod, CodeSize, Precision, Recall, FScore
Resources/names/same_sounded.txt,400,soundex,8,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,400,soundex,9,0.9912281,0.17174375,0.29276243
Resources/names/subs.txt,400,soundex,9,0.9692982,0.15483782,0.26702112
Resources/names/deletions.txt,400,soundex,9,0.94238096,0.27935368,0.43095708
Resources/names/same_sounded.txt,400,soundex,9,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,400,soundex,10,0.9912281,0.17174375,0.29276243
Resources/names/subs.txt,400,soundex,10,0.9692982,0.15483782,0.26702112
Resources/names/deletions.txt,400,soundex,10,0.94238096,0.27935368,0.43095708
Resources/names/same_sounded.txt,400,soundex,10,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,400,soundex,11,0.9912281,0.17174375,0.29276243
Resources/names/subs.txt,400,soundex,11,0.9692982,0.15483782,0.26702112
Resources/names/deletions.txt,400,soundex,11,0.94238096,0.27935368,0.43095708
Resources/names/same_sounded.txt,400,soundex,11,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,400,soundex,12,0.9912281,0.17174375,0.29276243
Resources/names/subs.txt,400,soundex,12,0.9692982,0.15483782,0.26702112
Resources/names/deletions.txt,400,soundex,12,0.94238096,0.27935368,0.43095708
Resources/names/same_sounded.txt,400,soundex,12,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,600,soundex,2,0.47619766,0.6882333,0.5629103
Resources/names/subs.txt,600,soundex,2,0.44627616,0.6636182,0.53366697
Resources/names/deletions.txt,600,soundex,2,0.43174958,0.70446724,0.5353792
Resources/names/same_sounded.txt,600,soundex,2,0.5789473,0.9846492,0.72916514
Resources/names/additions.txt,600,soundex,3,0.7883182,0.5460216,0.6451711
Resources/names/subs.txt,600,soundex,3,0.80734074,0.50303024,0.61985016
Resources/names/deletions.txt,600,soundex,3,0.74469393,0.58349454,0.654312
Resources/names/same_sounded.txt,600,soundex,3,0.84210527,0.9846492,0.9078158
Resources/names/additions.txt,600,soundex,4,0.9160464,0.41561228,0.57179844
Resources/names/subs.txt,600,soundex,4,0.90348536,0.370238,0.525239
Resources/names/deletions.txt,600,soundex,4,0.88822484,0.45143026,0.59861904
Resources/names/same_sounded.txt,600,soundex,4,0.9605263,0.9802632,0.97029436
